twitter_id,name,created_at,text
1338093510482911232,AKApella23,12/13/20,"'RT @CTZebra: Audrey Ellis, 29yo Transplant RN, UC downtown Denver Hospital,   died of #covid19 cardiac damage 3/22. She loved life, Irish d…'"
1338093510738780163,darhar981,12/13/20,"'RT @GracieNunyabiz: Well.. hummmm ::ahem:: o_O 1 year anniversary of first DX case of #WuhanVirus #Corona #COVID19 in Wuhan, China.  76 day…'"
1338093512328417282,_alpalllll,12/13/20,'RT @DrEricDing: The next 3 months will be the darkest winter in American history. Please protect your families and your community. #COVID19…'
1338093512320020482,wilsonrharvey,12/13/20,'RT @DrFNA: I want to share my story with you; I think given my last post it is important. I am a participant in a Phase 3 clinical trial fo…'
1338093514228424706,Dawnmist723,12/13/20,'This is sickening.'
1338093522797334528,GordonHill1,12/13/20,"'RT @keeling_michael: Pls share!  If you experience signs of stroke ring 999 immediately, think FAST   F - Face A - Arm S - Speech T - Time…'"
1338093524647075840,beachpeadesign,12/13/20,'RT @Jimcorrsays: Freedom Of Information Request To The NHS reveals that NO ONE Without Any Preexisting Medical Conditions Has Died From #CO…'
1338093526639398912,pattio831,12/13/20,'RT @GovMurphy: DEADLINE EXTENDED: Application window for the @NewJerseyEDA’s PPE Access Program has been EXTENDED to December 17th.  Small…'
1338093527318802434,CastonChris,12/13/20,'RT @DrFNA: I want to share my story with you; I think given my last post it is important. I am a participant in a Phase 3 clinical trial fo…'
1338093527973163008,Miss_Placed_,12/13/20,'RT @DrEricDing: The next 3 months will be the darkest winter in American history. Please protect your families and your community. #COVID19…'
1338093532142252032,SimLip,12/13/20,"'Polluters want to use #COVID19 to kill climate ambition, but 3 powerful women @vonderleyen @Lagarde &amp; @Regsprecher… https://t.co/HGp52piMv1'"
1338093536823152642,homoapis,12/13/20,"'RT @cpeedell: Sorry to come across as a Scrooge, but as an oncologist who is on a #COVID19 ward rota to help out our amazing acute medicine…'"
1338093537481658368,drsumitgupta,12/13/20,'RT @kathymaytran: ICYMI: First #NEJMCPC featuring #radiologist as primary discussant! Case 25-2020: 47W with lung mass. Hint: Not what you…'
1338093546038038528,ProfAJChalmers,12/13/20,'Thanks @sueyom - an excellent and speedy piece of work by @CathHanna with help from @kevingblyth  It explains why w… https://t.co/Zz4vL1bTvm'
1338093550710398976,Gangesh83599095,12/13/20,"'RT @nmohanty: Endeavoring to minimize disruption to #Breastcancer screening and detection during #COVID19,149 healthcare providers of #Khor…'"
1338093551054442499,AnnieMcCann20,12/13/20,"'RT @Greenpeace: 🌡️ It's been 5yrs since 197 governments made a pledge to keep global heating under 1.5°C.   They failed to act.   Instead,…'"
1338093561028489218,Miss_Placed_,12/13/20,"'RT @DrEricDing: ➡️ If a marathon-running 29-year old nurse can die of #COVID19, anybody can.   Please mask up, distance, ventilate the airb…'"
1338093561917534209,OperationRedrum,12/13/20,"'RT @Dunroamin4ever: Rothschild  2015  Just how ""novel"" was #COVID19? https://t.co/B6uvzjfndd https://t.co/uWcAv8MJ1h'"
1338093567642918913,thewritingDJ,12/13/20,'Lone walk with a camera man? In saner climes he'd upload a selfie not this Arsenal Christmas Ad.'
1338093584021647360,jesslynhenry,12/13/20,'RT @SNAsSpeakOut: These numbers are steadily going up 15% of primary and 53% of secondary schools have cases of covid-19 #IsupportClaremorr…'
1338093591080693761,MorobadiK,12/13/20,"'RT @mo4lo: The Covid19 promo is back again,unfollow those opinion whores called influencers'"
1338093592515137538,BehtarIran,12/13/20,"'RT @iran_true: 7,451 new cases have tested positive for #coronavirus in the past 24 hours in Iran while 247 have died of #COVID19! Islamic…'"
1338093593169367043,VanessaPather,12/13/20,"'RT @cpeedell: Sorry to come across as a Scrooge, but as an oncologist who is on a #COVID19 ward rota to help out our amazing acute medicine…'"
1338093593454587904,BurtsBikeBits,12/13/20,"'RT @cpeedell: Sorry to come across as a Scrooge, but as an oncologist who is on a #COVID19 ward rota to help out our amazing acute medicine…'"
1338093595321053187,Iam_skulboysky,12/13/20,'RT @thecableng: PHOTOS: ‘COVID can’t hold Lagos down’ — @jidesanwoolu embarks on lone walk | TheCable https://t.co/HMHqb90V4g  #COVID19 htt…'
1338093605714583552,KaptainSwizzy,12/13/20,'RT @KaptainSwizzy: Man shall not live by bread alone!  This is more than bread!   KINGOD The E.P. https://t.co/babxcrt8a7  #AnthonyJoshua #…'
1338093608780623872,FreeSpeech_0,12/13/20,"'RT @BillBates01: @JohnAnneMarie2 @TCZEN @MartinRemains Boris Johnson took ""full charge"" of the UK #COVID19 crisis about five times &amp; the re…'"
1338093623062171649,Kelleymangold1,12/13/20,'RT @DrEricDing: The next 3 months will be the darkest winter in American history. Please protect your families and your community. #COVID19…'
1338093624781836288,Sarcastalot5,12/13/20,'RT @thekellyjean13: I’m asking for help this year to get my family some gifts for #Christmas . I’m #unemployed thanks to #COVID19 and want…'
1338093630301622277,CedawPT,12/13/20,'RT @ishdeep_kohli: @UNFPA @Atayeshe #COVID19 disproportionately impacts women &amp; girls Rising intimate partner violence sexual violence—chil…'
1338093634688868354,bitcoinconnect,12/13/20,"'Walmart, Target and Best Buy are closed on Thanksgiving Day. Here's where you can get Black Friday deals online ins… https://t.co/LDunQoBICc'"
1338093643106697216,Sheridan543,12/13/20,'RT @DrEricDing: Not so “nice” once #COVID19 infects more and more of their community. Terrible horrible no good very bad leadership @RonDeS…'
1338093643282964480,matthewtegha,12/13/20,'COVID19: Nigeria records 617 new cases of Coronavirus  https://t.co/IU14pF6fTp'
1338093647657578499,konaandekongh,12/13/20,"'RT @CTZebra: Audrey Ellis, 29yo Transplant RN, UC downtown Denver Hospital,   died of #covid19 cardiac damage 3/22. She loved life, Irish d…'"
1338093648177553409,sumitja40322472,12/13/20,"'RT @RadioChinar: Medical assistance provided by #IndianArmy to the people of Rafiabad, North #Kashmir amidst #COVID19 Pandemic. #JaiHind ht…'"
1338093653122633733,DhlExpressMY,12/13/20,"'Employee safety is the ☝️top priority for leaders. Frank Appel, CEO of @DHLexpress parent company Deutsche Post, fo… https://t.co/gICQbFMloN'"
1338093653370294275,Wojtyr,12/13/20,"'RT @DrZoeHyde: 1. Updated thread on children &amp; #COVID19, summarising recent research.  Summary: further evidence children and adults are eq…'"
1338093654049771523,doc_namrah,12/13/20,'RT @subhanlaghari: Covid19 update ICT 279 new cases against 5965 samples with positivity rate of 4.67% The main concern this time is positi…'
1338093663038054412,Ron98604479,12/13/20,'RT @SitaramYechury: This is a brazen violation of the MCC by the FM seeking to influence Bihar electorate with promise of free Covid vaccin…'
1338093664707497986,CentristRn,12/13/20,"'RT @CentristRn: @nursesyouknow Hi,😱😢🔽 🚨❤PLEASE HELP IF YOU CAN! ❤🚨⏩DONATE/SHARE😢😷 🏥⏬⤵😷🚨COVID19 RN DENTURE..TYSM!!❤💕💓https://t.co/9kQCmxDdRq…'"
1338093666980794369,petit_denise,12/13/20,'RT @ConnexionFrance: Fancy a glass of new French vintage Test du Covid? #wine #France #COVID19 https://t.co/yEQovJm24Q'
1338093672353640450,Suzanne38996558,12/13/20,"'RT @HHSGov: General Perna of Operation Warp Speed (#OWS) says it’s all about saving lives. This is the beginning of the end, as the first #…'"
1338093673687355393,rionaenae,12/13/20,'anlala what the fuck'
1338093675432341506,X10761611,12/13/20,'RT @dw_politics: Merkel orders tough new #COVID19 curbs from Dec 16 - Jan 10:  🔹Non-essential shops will close 🔹Schools will close 🔹Contact…'
1338093682138890240,YouCanFoolMost,12/13/20,"'RT @DhlExpressMY: Employee safety is the ☝️top priority for leaders. Frank Appel, CEO of @DHLexpress parent company Deutsche Post, formed a…'"
1338093683657347072,paopaulino,12/13/20,'RT @DrFNA: I want to share my story with you; I think given my last post it is important. I am a participant in a Phase 3 clinical trial fo…'
1338093687096664065,belujm13,12/13/20,"'RT @DrTedros: Likewise, @BTS_twt Jimin, Namjoon, Jin, Yoongi, Hobi, Taehyung &amp; Jungkook and crew - please take care of yourselves &amp; stay sa…'"
1338093688493400064,StartUpEAC,12/13/20,'@SakajaJohnson the safety of one person depends on the safety of the whole and the whole on one person. Make it man… https://t.co/ECqbp9WgO4'
1338093691257425920,sprint_code,12/13/20,'RT @HarbRimah: The Future of Data Science Is in the Hands of Every Worker https://t.co/zjAlLk9Rrn   #MachineLearning #DataScience #Python #…'
1338093695351074816,sweetsfiend,12/13/20,'RT @MayoClinic: Find more debunked #COVID19 vaccine myths here: https://t.co/ZFErqwek4m https://t.co/LtifdeQ26g'
1338093702405828609,Miss_Placed_,12/13/20,"'RT @AmericanDonkeys: @DrTomFrieden Having barely survived Covid19 myself and having lost a friend and a family member to the virus, it is n…'"
1338093703525625857,CheckOrphan,12/13/20,'@ecopywriteraol @volfancpa @megynkelly There is no evidence that masks work. More mask compliance has led to more c… https://t.co/KosdA2UVV8'
1338093704138076166,rabbithedge,12/13/20,"'RT @cpeedell: Sorry to come across as a Scrooge, but as an oncologist who is on a #COVID19 ward rota to help out our amazing acute medicine…'"
1338093705887006721,Ron98604479,12/13/20,'RT @PanickarS: LOL. This guy seems ignorant of a similar announcement by Kerala CM.   #Hypocrisy #COVID19 https://t.co/nV9HkETCAL'
1338093708961525762,raj_psyc,12/13/20,'RT @DrEricDing: Stockholm’s ICU capacity hit 99% this week. Sweden 🇸🇪 is also completely out of ICU nursing staff because of high resignati…'
1338093715076706304,wsi_usa,12/13/20,'RT @WSlightly: https://t.co/Po7zU4AjDv🇩🇪CureVacRNA bsindia:CureVac has said interim results from early trials showed investigational #Covid…'
1338093719170506754,oscarfc0311,12/13/20,'RT @DrEricDing: The next 3 months will be the darkest winter in American history. Please protect your families and your community. #COVID19…'
1338093720835510279,Azukichi_lucror,12/13/20,"'RT @iingwen: Thank you for the recognition, but #Taiwan’s successful #COVID19 response was a team effort. The incredible dedication of our…'"
1338093724048437250,DrNuelmuhumuza,12/13/20,"'RT @jackiearinda: Artists are busy forgetting the uninterrupted lavish birthday parties they had in hotels, their homes during COVID19. Go…'"
1338093727764639747,JaneFonder,12/13/20,"'RT @DMRevans: I’m worn out by those minimizing Covid’s seriousness. To hear them, those who die are predominately elderly. Or most w/ Covid…'"
