,twitter_id,name,created_at,text
109,1338093664707497986,CentristRn,12/13/20,rt   hi please help if you can donateshare covid19 rn denturetysm
110,1338093666980794369,petit_denise,12/13/20,rt  fancy a glass of new french vintage test du covid wine france covid19 
111,1338093672353640450,Suzanne38996558,12/13/20,rt  general perna of operation warp speed ows says its all about saving lives this is the beginning of the end as the first 
112,1338093673687355393,rionaenae,12/13/20,anlala what the fuck
113,1338093675432341506,X10761611,12/13/20,rt politics merkel orders tough new covid19 curbs from dec 16  jan 10  nonessential shops will close schools will close contact
114,1338093682138890240,YouCanFoolMost,12/13/20,rt  employee safety is the top priority for leaders frank appel ceo of  parent company deutsche post formed a
115,1338093683657347072,paopaulino,12/13/20,rt  i want to share my story with you i think given my last post it is important i am a participant in a phase 3 clinical trial fo
116,1338093687096664065,belujm13,12/13/20,rt  likewise twt jimin namjoon jin yoongi hobi taehyung amp jungkook and crew  please take care of yourselves amp stay sa
117,1338093688493400064,StartUpEAC,12/13/20, the safety of one person depends on the safety of the whole and the whole on one person make it man 
118,1338093691257425920,sprint_code,12/13/20,rt  the future of data science is in the hands of every worker    machinelearning datascience python 
119,1338093695351074816,sweetsfiend,12/13/20,rt  find more debunked covid19 vaccine myths here  
120,1338093702405828609,Miss_Placed_,12/13/20,rt   having barely survived covid19 myself and having lost a friend and a family member to the virus it is n
121,1338093703525625857,CheckOrphan,12/13/20,   there is no evidence that masks work more mask compliance has led to more c 
122,1338093704138076166,rabbithedge,12/13/20,rt  sorry to come across as a scrooge but as an oncologist who is on a covid19 ward rota to help out our amazing acute medicine
123,1338093705887006721,Ron98604479,12/13/20,rt  lol this guy seems ignorant of a similar announcement by kerala cm   hypocrisy covid19 
124,1338093708961525762,raj_psyc,12/13/20,rt  stockholms icu capacity hit 99 this week sweden  is also completely out of icu nursing staff because of high resignati
125,1338093715076706304,wsi_usa,12/13/20,rt   bsindiacurevac has said interim results from early trials showed investigational covid
126,1338093719170506754,oscarfc0311,12/13/20,rt  the next 3 months will be the darkest winter in american history please protect your families and your community covid19
127,1338093720835510279,Azukichi_lucror,12/13/20,rt  thank you for the recognition but taiwans successful covid19 response was a team effort the incredible dedication of our
128,1338093724048437250,DrNuelmuhumuza,12/13/20,rt  artists are busy forgetting the uninterrupted lavish birthday parties they had in hotels their homes during covid19 go
129,1338093727764639747,JaneFonder,12/13/20,rt  im worn out by those minimizing covids seriousness to hear them those who die are predominately elderly or most w covid
130,1338093727924019201,StartUpEAC,12/13/20,rt stephen africa seems to be in a waitandseewhathappensinthewest cavalier stance on covid19 vaccination misplaced prior
131,1338093727663865857,BommanhalliBBMP,12/13/20,sanitise disinfect your workspace regularly  covid19  coronavirus  staysafestayhealthy 
132,1338093730801184769,sinach_z,12/13/20,this covid19 spare no one even an active fit marathon runner   wear the mask avoid crowded place always get in 
